epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9972,1.10014,1.25943,1.22456,0.80671,0.66545,0.77242,0.59537,0.93085,0.7686,1.03511,8.33e-06,8.33e-06,8.33e-06
2,55.83,1.06235,1.0638,1.1625,0.80985,0.68971,0.7859,0.60825,0.91389,0.7395,1.0237,1.74966e-05,1.74966e-05,1.74966e-05
3,83.4501,1.03417,0.96883,1.19245,0.80289,0.7075,0.78941,0.61261,0.90249,0.72122,1.01649,2.62861e-05,2.62861e-05,2.62861e-05
4,105.403,1.01033,0.95248,1.12381,0.80955,0.72541,0.80042,0.62757,0.88894,0.70449,1.00664,3.46987e-05,3.46987e-05,3.46987e-05
5,129.028,0.99495,0.92059,1.13497,0.78306,0.74284,0.80598,0.62746,0.87306,0.68982,0.9964,4.27343e-05,4.27343e-05,4.27343e-05
6,154.123,1.01558,0.92902,1.11962,0.8046,0.73548,0.8195,0.64245,0.86127,0.67721,0.99122,5.03929e-05,5.03929e-05,5.03929e-05
7,168.767,0.96951,0.85138,1.10937,0.87689,0.71152,0.8254,0.65068,0.84973,0.67118,0.98772,5.76745e-05,5.76745e-05,5.76745e-05
8,180.752,0.97232,0.82187,1.11523,0.88893,0.71906,0.83259,0.65797,0.83945,0.64771,0.98351,6.45792e-05,6.45792e-05,6.45792e-05
9,189.894,0.94028,0.83148,1.10744,0.78793,0.77936,0.83768,0.66193,0.83146,0.62345,0.97912,7.11068e-05,7.11068e-05,7.11068e-05
10,199.611,0.93862,0.80971,1.10747,0.80388,0.77389,0.84032,0.67218,0.8246,0.61418,0.97471,7.72574e-05,7.72574e-05,7.72574e-05
11,211.319,0.91019,0.77529,1.07078,0.82967,0.79906,0.85004,0.68358,0.80539,0.59493,0.96475,8.30311e-05,8.30311e-05,8.30311e-05
12,222.479,0.93185,0.75464,1.06626,0.82402,0.81025,0.86868,0.69618,0.79911,0.58026,0.96129,8.84277e-05,8.84277e-05,8.84277e-05
13,235.084,0.9141,0.75034,1.07621,0.84447,0.81237,0.87368,0.70526,0.79057,0.562,0.95723,9.07256e-05,9.07256e-05,9.07256e-05
14,245.573,0.88804,0.74788,1.06792,0.8602,0.80978,0.87783,0.71122,0.77777,0.54206,0.95081,8.83694e-05,8.83694e-05,8.83694e-05
15,256.62,0.86849,0.67963,1.05035,0.87066,0.80255,0.88184,0.71894,0.76477,0.52869,0.94416,8.60132e-05,8.60132e-05,8.60132e-05
16,270.99,0.86335,0.71676,1.05075,0.87888,0.81104,0.88105,0.7292,0.75498,0.51846,0.93767,8.3657e-05,8.3657e-05,8.3657e-05
17,284.617,0.84151,0.66812,1.03523,0.9055,0.81163,0.88617,0.7336,0.7467,0.51044,0.93227,8.13008e-05,8.13008e-05,8.13008e-05
18,297.984,0.87366,0.71378,1.06466,0.91444,0.81289,0.88849,0.73519,0.73908,0.50546,0.92729,7.89446e-05,7.89446e-05,7.89446e-05
19,310.691,0.83473,0.65078,1.03037,0.91614,0.81145,0.89085,0.73608,0.73529,0.50031,0.92519,7.65884e-05,7.65884e-05,7.65884e-05
20,322.818,0.83236,0.64233,1.02246,0.92559,0.80602,0.89151,0.74246,0.72895,0.49395,0.92249,7.42322e-05,7.42322e-05,7.42322e-05
21,336.373,0.82303,0.65039,1.03935,0.92961,0.81103,0.89244,0.74524,0.72123,0.48794,0.91928,7.1876e-05,7.1876e-05,7.1876e-05
22,351.56,0.86844,0.65815,1.04615,0.92347,0.81393,0.89257,0.74828,0.71439,0.48239,0.91689,6.95198e-05,6.95198e-05,6.95198e-05
23,366.138,0.86631,0.6901,1.04982,0.91931,0.81957,0.89509,0.754,0.70932,0.47473,0.91526,6.71636e-05,6.71636e-05,6.71636e-05
24,381.805,0.76655,0.59362,1.00897,0.93102,0.81772,0.89854,0.75465,0.70433,0.46887,0.91313,6.48074e-05,6.48074e-05,6.48074e-05
