epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.6648,0.99435,1.11813,1.18796,0.75144,0.71575,0.79076,0.61545,0.85176,0.69707,1.02264,8.33e-06,8.33e-06,8.33e-06
2,198.1,0.97783,0.93582,1.14929,0.80107,0.73541,0.81527,0.64769,0.83024,0.64938,1.00781,1.74966e-05,1.74966e-05,1.74966e-05
3,300.033,0.94608,0.81657,1.16852,0.8123,0.74329,0.82608,0.66481,0.81556,0.6282,0.99793,2.62861e-05,2.62861e-05,2.62861e-05
4,394.727,0.92747,0.79998,1.11204,0.84794,0.74257,0.85095,0.68137,0.79666,0.5992,0.98731,3.46987e-05,3.46987e-05,3.46987e-05
5,470.479,0.90301,0.76325,1.1115,0.83518,0.76429,0.86406,0.69522,0.78871,0.57886,0.97811,4.27343e-05,4.27343e-05,4.27343e-05
6,565.441,0.92728,0.76318,1.09812,0.85169,0.78596,0.88152,0.71523,0.7751,0.55909,0.97037,5.03929e-05,5.03929e-05,5.03929e-05
7,644.671,0.86262,0.70045,1.08056,0.87203,0.78703,0.8856,0.71837,0.76825,0.54082,0.966,5.76745e-05,5.76745e-05,5.76745e-05
8,735.864,0.84588,0.67869,1.08044,0.89065,0.79008,0.88946,0.72369,0.75449,0.50303,0.95925,6.45792e-05,6.45792e-05,6.45792e-05
9,812.459,0.85287,0.70312,1.08076,0.90197,0.80059,0.89164,0.73269,0.7451,0.48903,0.95348,7.11068e-05,7.11068e-05,7.11068e-05
10,886.349,0.8452,0.68795,1.07879,0.89054,0.81472,0.88858,0.73088,0.74399,0.48207,0.95057,7.72574e-05,7.72574e-05,7.72574e-05
11,972.058,0.81473,0.65396,1.04317,0.9288,0.80938,0.90428,0.73993,0.72828,0.47102,0.94415,8.30311e-05,8.30311e-05,8.30311e-05
12,1051.98,0.80634,0.6132,1.03209,0.92553,0.82134,0.91383,0.75169,0.72469,0.45816,0.94457,8.84277e-05,8.84277e-05,8.84277e-05
13,1131.84,0.80741,0.62138,1.04081,0.90528,0.84194,0.91284,0.7481,0.71588,0.45221,0.94063,9.07256e-05,9.07256e-05,9.07256e-05
14,1212.84,0.79844,0.59564,1.0409,0.92237,0.84573,0.91887,0.75848,0.70398,0.44458,0.93506,8.83694e-05,8.83694e-05,8.83694e-05
15,1298.97,0.76188,0.56132,1.01591,0.92487,0.85204,0.91662,0.76257,0.6925,0.43469,0.9259,8.60132e-05,8.60132e-05,8.60132e-05
16,1380.5,0.77024,0.5977,1.02607,0.93861,0.85114,0.92068,0.76233,0.68314,0.42701,0.92112,8.3657e-05,8.3657e-05,8.3657e-05
17,1465.49,0.73294,0.53613,1.00846,0.93055,0.85494,0.92135,0.76444,0.67404,0.42476,0.9158,8.13008e-05,8.13008e-05,8.13008e-05
18,1551.43,0.76867,0.58,1.03616,0.93139,0.85592,0.92032,0.77108,0.66754,0.41901,0.91211,7.89446e-05,7.89446e-05,7.89446e-05
19,1634.42,0.74984,0.53724,1.00305,0.93268,0.86009,0.92235,0.77643,0.6646,0.4169,0.90949,7.65884e-05,7.65884e-05,7.65884e-05
20,1705.1,0.70878,0.51176,0.98993,0.94819,0.85452,0.92603,0.78212,0.65411,0.40829,0.90542,7.42322e-05,7.42322e-05,7.42322e-05
21,1785.28,0.70468,0.54096,1.00827,0.95036,0.85682,0.9296,0.78861,0.64191,0.40003,0.90153,7.1876e-05,7.1876e-05,7.1876e-05
22,1863.21,0.74041,0.54043,1.0159,0.94203,0.86265,0.93191,0.79341,0.63584,0.39136,0.898,6.95198e-05,6.95198e-05,6.95198e-05
23,1948.05,0.76775,0.56719,1.02379,0.93508,0.87072,0.93525,0.79839,0.62878,0.38521,0.89483,6.71636e-05,6.71636e-05,6.71636e-05
24,2036.01,0.67551,0.49496,0.99335,0.93898,0.87355,0.9333,0.80276,0.62295,0.38267,0.89132,6.48074e-05,6.48074e-05,6.48074e-05
25,2120.25,0.73171,0.51534,1.00331,0.92863,0.88473,0.93488,0.80504,0.61349,0.37965,0.88655,6.24512e-05,6.24512e-05,6.24512e-05
26,2203.15,0.71546,0.52473,0.99433,0.93834,0.88753,0.93745,0.81156,0.6023,0.37227,0.88227,6.0095e-05,6.0095e-05,6.0095e-05
27,2290.75,0.67223,0.48345,0.97932,0.94691,0.88213,0.93852,0.81644,0.59174,0.36534,0.87871,5.77388e-05,5.77388e-05,5.77388e-05
28,2375.65,0.67323,0.491,0.98977,0.94567,0.8823,0.94185,0.8224,0.58201,0.35979,0.87522,5.53826e-05,5.53826e-05,5.53826e-05
